pNum,INIT,MUT,GC,EXIT,Date
1,0,0,0,0,2013-04-19
2,0,0,0,0,2013-04-19
3,0,0,0,0,2013-04-19
4,0,0.27,0,0,2013-04-19
5,0,0,0,0,2013-04-19
6,0,0,0,0,2013-04-19
7,0,0.02,0,0,2013-04-19
8,0,0,0,0,2013-04-19
9,0,0.02,0,0,2013-04-19
10,0,0.33,0.03,0,2013-04-19
11,0,0,0,0,2013-04-19
12,0,0.06,0,0,2013-04-19
13,0,0,0,0,2013-04-19
14,0,7.12,0.8,0,2013-04-19
15,0,0,0,0,2013-04-19
16,0,0,0,0,2013-04-19
17,0,0,0,0,2013-04-19
18,0,0,0,0,2013-04-19
19,0,0,0,0,2013-04-19
20,0,0,0,0,2013-04-19
21,0,0.41,0,0,2013-04-19
22,0,0.03,0,0,2013-04-19
23,0,1.77,0.06,0,2013-04-19
24,0.02,2.27,3.92,0.02,2013-04-19
25,0,0,0,0,2013-04-19
26,0,0.33,0.02,0,2013-04-19
27,0,0.91,1.36,0,2013-04-19
28,0,0.02,0,0,2013-04-19
29,0,0.03,0,0,2013-04-19
30,0,0.28,0,0,2013-04-19
31,0,0.64,0,0,2013-04-19
32,0,1.19,0.39,0,2013-04-19
33,0,0,0,0,2013-04-19
34,0,0.5,0,0,2013-04-19
35,0,2.33,0.42,0,2013-04-19
36,0,0.28,0,0,2013-04-19
37,0,0.47,0.02,0,2013-04-19
38,0,0.11,0.17,0,2013-04-19
39,0,11.34,0.55,0,2013-04-19
40,0,0.03,0,0,2013-04-19
41,0,0.03,0,0,2013-04-19
42,0,0,0,0,2013-04-19
43,0,25,0.41,0,2013-04-19
44,0,0.45,0.02,0,2013-04-19
45,0,0.03,0,0,2013-04-19
46,0,0.02,0,0,2013-04-19
47,0,39.62,1.7,0,2013-04-19
48,0,0.14,0,0,2013-04-19
49,0,0.39,0,0,2013-04-19
50,0,1.55,0.03,0,2013-04-19
52,0,0.02,0,0,2013-04-19
53,0,0.03,0,0,2013-04-19
55,0,0.22,0,0,2013-04-19
56,0,0.08,0,0,2013-04-19
59,0,0.02,0,0,2013-04-19
63,0,0,0,0,2013-04-19
67,0,0.02,0,0,2013-04-19
79,0,0,0,0,2013-04-19
97,0,2.38,0,0,2013-04-19
381,0,19.14,3.52,0,2013-04-19
419,0,0,0,0,2013-04-19
pNum,INIT,MUT,GC,EXIT,Date
1,0,0,0,0,2013-04-24
2,0,0,0,0,2013-04-24
3,0,0,0,0,2013-04-24
4,0,0.27,0,0,2013-04-24
5,0,0,0,0,2013-04-24
6,0,0,0,0,2013-04-24
7,0,0.02,0,0,2013-04-24
8,0,0,0,0,2013-04-24
9,0,0.02,0,0,2013-04-24
10,0,0.33,0.03,0,2013-04-24
11,0,0,0,0,2013-04-24
12,0,0.06,0,0,2013-04-24
13,0,0,0,0,2013-04-24
14,0,7.12,0.8,0,2013-04-24
15,0,0,0,0,2013-04-24
16,0,0,0,0,2013-04-24
17,0,0,0,0,2013-04-24
18,0,0,0,0,2013-04-24
19,0,0,0,0,2013-04-24
20,0,0,0,0,2013-04-24
21,0,0.41,0,0,2013-04-24
22,0,0.03,0,0,2013-04-24
23,0,1.77,0.06,0,2013-04-24
24,0.02,2.27,3.92,0.02,2013-04-24
25,0,0,0,0,2013-04-24
26,0,0.33,0.02,0,2013-04-24
27,0,0.91,1.36,0,2013-04-24
28,0,0.02,0,0,2013-04-24
29,0,0.03,0,0,2013-04-24
30,0,0.28,0,0,2013-04-24
31,0,0.64,0,0,2013-04-24
32,0,1.19,0.39,0,2013-04-24
33,0,0,0,0,2013-04-24
34,0,0.5,0,0,2013-04-24
35,0,2.33,0.42,0,2013-04-24
36,0,0.28,0,0,2013-04-24
37,0,0.47,0.02,0,2013-04-24
38,0,0.11,0.17,0,2013-04-24
39,0,11.34,0.55,0,2013-04-24
40,0,0.03,0,0,2013-04-24
41,0,0.03,0,0,2013-04-24
42,0,0,0,0,2013-04-24
43,0,25,0.41,0,2013-04-24
44,0,0.45,0.02,0,2013-04-24
45,0,0.03,0,0,2013-04-24
46,0,0.02,0,0,2013-04-24
47,0,39.62,1.7,0,2013-04-24
48,0,0.14,0,0,2013-04-24
49,0,0.39,0,0,2013-04-24
50,0,1.55,0.03,0,2013-04-24
52,0,0.02,0,0,2013-04-24
53,0,0.03,0,0,2013-04-24
54,0,0.03,0,0,2013-04-24
55,0,0.22,0,0,2013-04-24
56,0,0.08,0,0,2013-04-24
57,0,3.81,0.03,0,2013-04-24
58,0,0.73,0,0,2013-04-24
59,0,0.02,0,0,2013-04-24
63,0,0,0,0,2013-04-24
67,0,0.02,0,0,2013-04-24
69,0,0.78,0.16,0,2013-04-24
79,0,0,0,0,2013-04-24
81,0,0.03,0.02,0,2013-04-24
97,0,2.38,0,0,2013-04-24
99,0,0.02,0,0,2013-04-24
381,0,19.14,3.52,0,2013-04-24
419,0,0,0,0,2013-04-24
"pNum","INIT","MUT","GC","EXIT","Date"
"0001",0,0,0,0,2013-04-24
"0002",0,0,0,0,2013-04-24
"0003",0,0,0,0,2013-04-24
"0004",0,0.27,0,0,2013-04-24
"0005",0,0,0,0,2013-04-24
"0006",0,0,0,0,2013-04-24
"0007",0,0.02,0,0,2013-04-24
"0008",0,0,0,0,2013-04-24
"0009",0,0.02,0,0,2013-04-24
"0010",0,0.33,0.03,0,2013-04-24
"0011",0,0,0,0,2013-04-24
"0012",0,0.06,0,0,2013-04-24
"0013",0,0,0,0,2013-04-24
"0014",0,7.12,0.8,0,2013-04-24
"0015",0,0,0,0,2013-04-24
"0016",0,0,0,0,2013-04-24
"0017",0,0,0,0,2013-04-24
"0018",0,0,0,0,2013-04-24
"0019",0,0,0,0,2013-04-24
"0020",0,0,0,0,2013-04-24
"0021",0,0.41,0,0,2013-04-24
"0022",0,0.03,0,0,2013-04-24
"0023",0,1.77,0.06,0,2013-04-24
"0024",0.02,2.27,3.92,0.02,2013-04-24
"0025",0,0,0,0,2013-04-24
"0026",0,0.33,0.02,0,2013-04-24
"0027",0,0.91,1.36,0,2013-04-24
"0028",0,0.02,0,0,2013-04-24
"0029",0,0.03,0,0,2013-04-24
"0030",0,0.28,0,0,2013-04-24
"0031",0,0.64,0,0,2013-04-24
"0032",0,1.19,0.39,0,2013-04-24
"0033",0,0,0,0,2013-04-24
"0034",0,0.5,0,0,2013-04-24
